Information listing created by	ASUS
Date	07-Dec-2023 20:10:12
Current work part	C:\Users\ASUS\Documents\MCOMP\PROJETO\peça em metros_fem33.fem
Node name	LAPTOP-RQ9ND5TO


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  132                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 123 119 118 120
  133                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 124 103 104 123
  134                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 124 123 120 121
  135                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 125 124 121 122
  136                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 129 4 175 131
  137                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 175 176 130 131
  138                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 129 131 130 128
  139                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 130 176 177 107
  140                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 106 105 116 126
  141                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 127 128 130 107
  142                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 120 118 4 129
  143                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 121 120 129 128
  144                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 122 121 128 127
  145                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 126 116 117 132
  146                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 126 132 122 127
  147                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 191 192 7 117
  148                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 116 105 8 190
  149                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 116 190 191 117
  150                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 103 6 194 195
  151                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 196 197 5 104
  152                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 196 104 103 195
  153                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 51 50 42 47
  154                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 51 47 46 45
  155                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 88 167 168 86
  156                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 88 86 85 87
  157                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 133 112 111 114
  158                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 133 106 126 127
  159                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 133 127 107 112
  160                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 110 172 173 115
  161                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 114 111 110 115
